,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
46,20,Arizona,AZ,Maricopa,Republican,John Kasich,0.10800000000000001,13.8,57.0,86.4,50.6,53596,414.9
47,21,Arizona,AZ,Mohave,Republican,Donald Trump,0.648,26.9,78.0,83.8,49.7,39200,15.0
48,22,Arizona,AZ,Mohave,Republican,Ted Cruz,0.217,26.9,78.0,83.8,49.7,39200,15.0
49,23,Arizona,AZ,Mohave,Republican,John Kasich,0.047,26.9,78.0,83.8,49.7,39200,15.0
50,24,Arizona,AZ,Navajo,Republican,Donald Trump,0.414,15.8,42.2,80.6,49.8,36927,10.8
51,25,Arizona,AZ,Navajo,Republican,Ted Cruz,0.405,15.8,42.2,80.6,49.8,36927,10.8
52,26,Arizona,AZ,Navajo,Republican,John Kasich,0.051,15.8,42.2,80.6,49.8,36927,10.8
53,27,Arizona,AZ,Pima,Republican,Donald Trump,0.436,17.7,53.3,87.2,50.8,45841,106.7
54,28,Arizona,AZ,Pima,Republican,Ted Cruz,0.27399999999999997,17.7,53.3,87.2,50.8,45841,106.7
55,29,Arizona,AZ,Pima,Republican,John Kasich,0.11699999999999999,17.7,53.3,87.2,50.8,45841,106.7
56,30,Arizona,AZ,Pinal,Republican,Donald Trump,0.575,18.0,57.9,84.7,47.8,50027,70.0
57,31,Arizona,AZ,Pinal,Republican,Ted Cruz,0.192,18.0,57.9,84.7,47.8,50027,70.0
58,32,Arizona,AZ,Pinal,Republican,John Kasich,0.07400000000000001,18.0,57.9,84.7,47.8,50027,70.0
59,33,Arizona,AZ,Yavapai,Republican,Donald Trump,0.47600000000000003,28.1,80.9,90.2,51.1,42987,26.0
60,34,Arizona,AZ,Yavapai,Republican,Ted Cruz,0.295,28.1,80.9,90.2,51.1,42987,26.0
61,35,Arizona,AZ,Yavapai,Republican,John Kasich,0.091,28.1,80.9,90.2,51.1,42987,26.0
62,36,Arizona,AZ,Yuma,Republican,Donald Trump,0.495,17.4,32.9,71.9,48.8,41595,35.5
63,37,Arizona,AZ,Yuma,Republican,Ted Cruz,0.28800000000000003,17.4,32.9,71.9,48.8,41595,35.5
64,38,Arizona,AZ,Yuma,Republican,John Kasich,0.059000000000000004,17.4,32.9,71.9,48.8,41595,35.5
