,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
47,27,Vermont,VT,Orange,Republican,Marco Rubio,0.17,17.6,95.7,91.3,50.3,52480,42.1
48,28,Vermont,VT,Orange,Republican,Ted Cruz,0.111,17.6,95.7,91.3,50.3,52480,42.1
49,29,Vermont,VT,Orange,Republican,Ben Carson,0.081,17.6,95.7,91.3,50.3,52480,42.1
50,30,Vermont,VT,Rutland,Republican,Donald Trump,0.35700000000000004,19.4,95.9,89.4,50.9,49271,66.3
51,31,Vermont,VT,Rutland,Republican,John Kasich,0.335,19.4,95.9,89.4,50.9,49271,66.3
52,32,Vermont,VT,Rutland,Republican,Marco Rubio,0.177,19.4,95.9,89.4,50.9,49271,66.3
53,33,Vermont,VT,Rutland,Republican,Ted Cruz,0.071,19.4,95.9,89.4,50.9,49271,66.3
54,34,Vermont,VT,Rutland,Republican,Ben Carson,0.027000000000000003,19.4,95.9,89.4,50.9,49271,66.3
55,35,Vermont,VT,Washington,Republican,Donald Trump,0.405,17.0,94.4,93.5,50.6,57281,86.6
56,36,Vermont,VT,Washington,Republican,John Kasich,0.19,17.0,94.4,93.5,50.6,57281,86.6
57,37,Vermont,VT,Washington,Republican,Ted Cruz,0.159,17.0,94.4,93.5,50.6,57281,86.6
58,38,Vermont,VT,Washington,Republican,Marco Rubio,0.135,17.0,94.4,93.5,50.6,57281,86.6
59,39,Vermont,VT,Washington,Republican,Ben Carson,0.087,17.0,94.4,93.5,50.6,57281,86.6
60,40,Vermont,VT,Windham,Republican,Donald Trump,0.48,19.3,93.7,90.8,51.0,50234,56.7
61,41,Vermont,VT,Windham,Republican,John Kasich,0.36,19.3,93.7,90.8,51.0,50234,56.7
62,42,Vermont,VT,Windham,Republican,Marco Rubio,0.16,19.3,93.7,90.8,51.0,50234,56.7
63,43,Vermont,VT,Windham,Republican,Ben Carson,0.0,19.3,93.7,90.8,51.0,50234,56.7
64,44,Vermont,VT,Windham,Republican,Ted Cruz,0.0,19.3,93.7,90.8,51.0,50234,56.7
65,45,Vermont,VT,Windsor,Republican,Donald Trump,0.361,20.7,95.0,92.7,51.1,52460,58.5
66,46,Vermont,VT,Windsor,Republican,John Kasich,0.222,20.7,95.0,92.7,51.1,52460,58.5
67,47,Vermont,VT,Windsor,Republican,Marco Rubio,0.215,20.7,95.0,92.7,51.1,52460,58.5
68,48,Vermont,VT,Windsor,Republican,Ted Cruz,0.111,20.7,95.0,92.7,51.1,52460,58.5
69,49,Vermont,VT,Windsor,Republican,Ben Carson,0.038,20.7,95.0,92.7,51.1,52460,58.5
