,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
46,46,Illinois,IL,Franklin,Democrat,Bernie Sanders,0.539,19.5,96.1,87.1,50.9,36273,96.8
47,47,Illinois,IL,Franklin,Democrat,Hillary Clinton,0.42100000000000004,19.5,96.1,87.1,50.9,36273,96.8
48,48,Illinois,IL,Fulton,Democrat,Bernie Sanders,0.5329999999999999,18.9,92.2,86.4,47.8,45130,42.8
49,49,Illinois,IL,Fulton,Democrat,Hillary Clinton,0.451,18.9,92.2,86.4,47.8,45130,42.8
50,50,Illinois,IL,Gallatin,Democrat,Bernie Sanders,0.504,22.8,95.4,81.3,51.5,40330,17.3
51,51,Illinois,IL,Gallatin,Democrat,Hillary Clinton,0.40299999999999997,22.8,95.4,81.3,51.5,40330,17.3
52,52,Illinois,IL,Greene,Democrat,Bernie Sanders,0.494,18.3,96.9,88.6,49.7,43502,25.6
53,53,Illinois,IL,Greene,Democrat,Hillary Clinton,0.469,18.3,96.9,88.6,49.7,43502,25.6
54,54,Illinois,IL,Grundy,Democrat,Bernie Sanders,0.596,12.9,87.4,91.7,50.1,64541,119.8
55,55,Illinois,IL,Grundy,Democrat,Hillary Clinton,0.395,12.9,87.4,91.7,50.1,64541,119.8
56,56,Illinois,IL,Hamilton,Democrat,Bernie Sanders,0.49700000000000005,20.2,96.6,83.8,51.0,38417,19.5
57,57,Illinois,IL,Hamilton,Democrat,Hillary Clinton,0.428,20.2,96.6,83.8,51.0,38417,19.5
58,58,Illinois,IL,Hancock,Democrat,Hillary Clinton,0.574,23.1,96.7,90.6,50.6,43925,24.1
59,59,Illinois,IL,Hancock,Democrat,Bernie Sanders,0.40700000000000003,23.1,96.7,90.6,50.6,43925,24.1
60,60,Illinois,IL,Hardin,Democrat,Bernie Sanders,0.5539999999999999,23.3,95.2,83.2,49.4,37071,24.3
61,61,Illinois,IL,Hardin,Democrat,Hillary Clinton,0.40399999999999997,23.3,95.2,83.2,49.4,37071,24.3
62,62,Illinois,IL,Henderson,Democrat,Hillary Clinton,0.52,23.6,96.5,88.4,51.0,49389,19.3
63,63,Illinois,IL,Henderson,Democrat,Bernie Sanders,0.455,23.6,96.5,88.4,51.0,49389,19.3
64,64,Illinois,IL,Henry,Democrat,Hillary Clinton,0.507,18.5,91.0,89.7,50.2,52940,61.3
65,65,Illinois,IL,Henry,Democrat,Bernie Sanders,0.484,18.5,91.0,89.7,50.2,52940,61.3
66,66,Illinois,IL,Iroquois,Democrat,Bernie Sanders,0.606,20.4,90.6,88.3,51.1,47079,26.6
67,67,Illinois,IL,Iroquois,Democrat,Hillary Clinton,0.375,20.4,90.6,88.3,51.1,47079,26.6
68,68,Illinois,IL,Jackson,Democrat,Bernie Sanders,0.619,13.0,74.5,89.7,49.8,33479,103.1
69,69,Illinois,IL,Jackson,Democrat,Hillary Clinton,0.376,13.0,74.5,89.7,49.8,33479,103.1
70,70,Illinois,IL,Jasper,Democrat,Bernie Sanders,0.536,18.2,97.1,91.5,50.0,52233,19.6
71,71,Illinois,IL,Jasper,Democrat,Hillary Clinton,0.405,18.2,97.1,91.5,50.0,52233,19.6
72,72,Illinois,IL,Jefferson,Democrat,Bernie Sanders,0.499,17.6,86.1,86.8,48.6,42981,68.0
73,73,Illinois,IL,Jefferson,Democrat,Hillary Clinton,0.47200000000000003,17.6,86.1,86.8,48.6,42981,68.0
74,74,Illinois,IL,Jersey,Democrat,Bernie Sanders,0.545,17.6,96.3,88.3,51.3,53954,62.2
75,75,Illinois,IL,Jersey,Democrat,Hillary Clinton,0.435,17.6,96.3,88.3,51.3,53954,62.2
76,76,Illinois,IL,Johnson,Democrat,Bernie Sanders,0.525,19.3,87.2,83.4,44.3,40760,36.6
77,77,Illinois,IL,Johnson,Democrat,Hillary Clinton,0.451,19.3,87.2,83.4,44.3,40760,36.6
78,78,Illinois,IL,Kane,Democrat,Bernie Sanders,0.562,11.7,58.1,82.8,50.2,69530,990.8
79,79,Illinois,IL,Kane,Democrat,Hillary Clinton,0.435,11.7,58.1,82.8,50.2,69530,990.8
80,80,Illinois,IL,Kankakee,Democrat,Bernie Sanders,0.536,14.9,72.3,86.4,50.9,50102,167.7
81,81,Illinois,IL,Kankakee,Democrat,Hillary Clinton,0.457,14.9,72.3,86.4,50.9,50102,167.7
82,82,Illinois,IL,Kendall,Democrat,Bernie Sanders,0.584,9.0,71.9,92.5,50.6,81765,358.2
83,83,Illinois,IL,Kendall,Democrat,Hillary Clinton,0.41200000000000003,9.0,71.9,92.5,50.6,81765,358.2
84,84,Illinois,IL,Knox,Democrat,Bernie Sanders,0.521,19.6,83.7,85.9,49.7,40667,73.9
85,85,Illinois,IL,Knox,Democrat,Hillary Clinton,0.467,19.6,83.7,85.9,49.7,40667,73.9
86,86,Illinois,IL,Lake,Democrat,Hillary Clinton,0.527,12.2,63.3,88.9,50.1,77469,1585.6
87,87,Illinois,IL,Lake,Democrat,Bernie Sanders,0.47,12.2,63.3,88.9,50.1,77469,1585.6
88,88,Illinois,IL,Lawrence,Democrat,Bernie Sanders,0.483,17.0,85.0,76.1,44.0,40145,45.2
89,89,Illinois,IL,Lawrence,Democrat,Hillary Clinton,0.47,17.0,85.0,76.1,44.0,40145,45.2
90,90,Illinois,IL,Lee,Democrat,Bernie Sanders,0.598,17.5,87.0,86.4,47.2,50060,49.7
91,91,Illinois,IL,Lee,Democrat,Hillary Clinton,0.39399999999999996,17.5,87.0,86.4,47.2,50060,49.7
92,92,Illinois,IL,Livingston,Democrat,Bernie Sanders,0.555,17.0,88.2,86.1,49.6,54614,37.3
93,93,Illinois,IL,Livingston,Democrat,Hillary Clinton,0.433,17.0,88.2,86.1,49.6,54614,37.3
94,94,Illinois,IL,Logan,Democrat,Bernie Sanders,0.564,17.1,86.6,85.8,49.4,47133,49.0
95,95,Illinois,IL,Logan,Democrat,Hillary Clinton,0.428,17.1,86.6,85.8,49.4,47133,49.0
