,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
47,47,Kentucky,KY,Bracken,Republican,Marco Rubio,0.09300000000000001,15.4,96.3,80.9,50.2,39196,41.3
48,48,Kentucky,KY,Breathitt,Republican,Ted Cruz,0.494,15.4,97.2,63.8,50.0,24045,28.2
49,49,Kentucky,KY,Breathitt,Republican,Donald Trump,0.317,15.4,97.2,63.8,50.0,24045,28.2
50,50,Kentucky,KY,Breathitt,Republican,Marco Rubio,0.098,15.4,97.2,63.8,50.0,24045,28.2
51,51,Kentucky,KY,Breathitt,Republican,John Kasich,0.037000000000000005,15.4,97.2,63.8,50.0,24045,28.2
52,52,Kentucky,KY,Breckinridge,Republican,Donald Trump,0.384,17.6,94.7,76.6,50.0,38907,35.4
53,53,Kentucky,KY,Breckinridge,Republican,Ted Cruz,0.32299999999999995,17.6,94.7,76.6,50.0,38907,35.4
54,54,Kentucky,KY,Breckinridge,Republican,Marco Rubio,0.151,17.6,94.7,76.6,50.0,38907,35.4
55,55,Kentucky,KY,Breckinridge,Republican,John Kasich,0.11199999999999999,17.6,94.7,76.6,50.0,38907,35.4
56,56,Kentucky,KY,Bullitt,Republican,Donald Trump,0.40299999999999997,13.6,95.2,85.0,50.5,54836,250.2
57,57,Kentucky,KY,Bullitt,Republican,Ted Cruz,0.371,13.6,95.2,85.0,50.5,54836,250.2
58,58,Kentucky,KY,Bullitt,Republican,Marco Rubio,0.135,13.6,95.2,85.0,50.5,54836,250.2
59,59,Kentucky,KY,Bullitt,Republican,John Kasich,0.081,13.6,95.2,85.0,50.5,54836,250.2
60,60,Kentucky,KY,Butler,Republican,Donald Trump,0.431,17.5,94.0,75.5,50.6,35430,29.8
61,61,Kentucky,KY,Butler,Republican,Ted Cruz,0.259,17.5,94.0,75.5,50.6,35430,29.8
62,62,Kentucky,KY,Butler,Republican,Marco Rubio,0.159,17.5,94.0,75.5,50.6,35430,29.8
63,63,Kentucky,KY,Butler,Republican,John Kasich,0.11599999999999999,17.5,94.0,75.5,50.6,35430,29.8
64,64,Kentucky,KY,Caldwell,Republican,Donald Trump,0.38,19.3,91.1,84.0,51.6,37127,37.7
65,65,Kentucky,KY,Caldwell,Republican,Ted Cruz,0.35100000000000003,19.3,91.1,84.0,51.6,37127,37.7
66,66,Kentucky,KY,Caldwell,Republican,Marco Rubio,0.125,19.3,91.1,84.0,51.6,37127,37.7
67,67,Kentucky,KY,Caldwell,Republican,John Kasich,0.113,19.3,91.1,84.0,51.6,37127,37.7
68,68,Kentucky,KY,Calloway,Republican,Ted Cruz,0.373,15.9,89.4,86.1,51.9,39677,96.6
69,69,Kentucky,KY,Calloway,Republican,Donald Trump,0.26899999999999996,15.9,89.4,86.1,51.9,39677,96.6
70,70,Kentucky,KY,Calloway,Republican,Marco Rubio,0.174,15.9,89.4,86.1,51.9,39677,96.6
71,71,Kentucky,KY,Calloway,Republican,John Kasich,0.162,15.9,89.4,86.1,51.9,39677,96.6
72,72,Kentucky,KY,Campbell,Republican,Ted Cruz,0.308,13.8,92.4,88.5,50.9,54306,597.0
73,73,Kentucky,KY,Campbell,Republican,Donald Trump,0.276,13.8,92.4,88.5,50.9,54306,597.0
74,74,Kentucky,KY,Campbell,Republican,John Kasich,0.255,13.8,92.4,88.5,50.9,54306,597.0
